1	4
2	5
3	4
4	5
5	5
6	3
7	5
8	5
9	5
10	5
11	5
12	4
13	4
14	4
15	4
16	4
17	5
18	4
19	5
20	4
21	5
22	4
23	4
24	4
25	5
26	5
27	4
28	2
29	5
30	3
31	4
32	2
33	4
34	4
35	4
36	4
37	5
38	5
39	4
40	4
41	5
42	3
43	3
44	5
45	3
46	4
47	4
48	5
49	4
50	4
51	4
52	4
53	4
54	4
55	5
56	3
57	4
58	4
59	5
60	4
61	4
62	5
63	5
64	5
65	4
66	3
67	5
68	2
69	2
70	2
71	2
72	2
73	2
74	2
75	2
76	2
77	2
78	2
79	2
80	2
81	2
82	5
83	2
84	2
85	2
86	2
87	2
88	2
89	2
90	4
91	2
92	2
93	2
94	2
95	2
96	5
97	5
98	2
99	2
100	2
101	2
102	2
103	2
104	2
105	2
106	2
107	2
108	2
109	2
110	5
111	2
112	5
113	2
114	2
115	2
116	2
117	2
118	2
119	2
120	2
121	2
122	2
123	2
124	2
125	1
126	2
127	4
128	1
129	4
130	5
131	5
132	2
133	5
134	4
135	2
136	2
137	1
138	5
139	2
140	2
141	2
142	2
143	2
144	5
145	5
146	5
147	5
148	2
149	2
150	2
151	2
152	2
153	2
154	2
155	2
156	2
157	2
158	2
159	2
160	2
161	2
162	2
163	2
164	2
165	2
166	2
167	2
168	2
169	2
170	2
171	2
172	2
173	4
174	2
175	2
176	5
177	2
178	5
179	2
180	4
181	4
182	2
183	5
184	5
185	2
186	2
187	5
188	4
189	5
190	4
191	4
192	2
193	2
194	2
195	2
196	5
197	2
198	5
199	4
200	2
201	5
202	2
203	1
204	1
205	1
206	2
207	1
208	1
209	1
210	1
211	3
212	1
213	2
214	1
215	2
216	1
217	1
218	1
219	2
220	1
221	5
222	1
223	2
224	2
225	2
226	1
227	1
228	2
229	1
230	1
231	2
232	1
233	5
234	2
235	1
236	1
237	1
238	4
239	1
240	1
241	5
242	1
243	1
244	1
245	2
246	2
247	2
248	1
249	1
250	1
251	1
252	2
253	2
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	5
265	2
266	1
267	5
268	1
269	2
270	1
271	1
272	2
273	2
274	5
275	5
276	1
277	2
278	1
279	1
280	3
281	1
282	1
283	3
284	3
285	1
286	1
287	1
288	1
289	1
290	5
291	3
292	1
293	5
294	5
295	1
296	1
297	3
298	1
299	5
300	1
301	1
302	1
303	1
304	1
305	1
306	1
307	1
308	1
309	1
310	1
311	5
312	1
313	3
314	1
315	1
316	1
317	1
318	1
319	3
320	3
321	1
322	1
323	1
324	5
325	1
326	1
327	1
328	1
329	1
330	1
331	1
332	5
333	3
334	3
335	3
336	3
337	3
338	3
339	3
340	3
341	3
342	1
343	3
344	3
345	3
346	3
347	5
348	3
349	3
350	3
351	3
352	3
353	3
354	5
355	3
356	3
357	3
358	3
359	4
360	3
361	1
362	3
363	3
364	3
365	3
366	5
367	3
368	3
369	3
370	5
371	3
372	3
373	3
374	3
375	3
376	3
377	3
378	3
379	3
380	3
381	3
382	3
383	3
384	3
385	3
386	3
