1.0	1.11	3.53	3.46	4.59	1.71	0.78	0.55	0.54	0.87	1.0	0.85
1.0	0.91	1.14	1.2	0.97	1.1	0.82	0.59	0.44	0.65	0.5	0.42
1.0	0.69	0.87	1.18	0.66	2.04	1.94	2.29	1.48	0.9	1.28	1.34
1.0	0.86	0.47	0.52	0.77	0.48	0.42	0.32	0.2	0.32	0.49	0.41
1.0	1.45	1.44	1.12	1.1	1.15	0.79	0.77	0.78	0.71	0.67	0.36
1.0	1.0	0.93	0.86	0.87	0.65	0.56	0.75	0.7	1.15	1.01	1.22
1.0	1.25	0.98	0.77	0.98	0.56	0.57	0.51	0.4	0.56	0.62	0.74
1.0	0.85	0.76	0.9	0.69	0.23	0.35	0.34	0.28	0.55	0.46	0.51
1.0	0.58	0.34	0.51	0.54	0.41	0.23	0.24	0.24	0.57	0.5	0.59
1.0	1.08	0.84	0.95	0.94	0.82	0.59	0.54	0.24	0.49	0.48	0.63
